sample_type,p_curved,p_MRW,run_id
linear_mono,0.0183095540851354,0.1205744296312332,latest_eval
boundary_mrw,0.2536618709564209,0.330133706331253,latest_eval
curved_mrw,0.8483301997184753,0.914612889289856,latest_eval
noisy_mono,0.1403750926256179,0.2432349473237991,latest_eval
noisy_mrw,0.2440060526132583,0.3084964156150818,latest_eval
heavy_tail_distorted,0.325091004371643,0.0335084460675716,latest_eval
regime_apparent,0.4326356053352356,0.1068759709596633,latest_eval
ambiguous_mild_curvature,0.4298089146614074,0.4239908456802368,latest_eval
linear_mono,0.0216771997511386,0.1252296864986419,latest_eval
boundary_mrw,0.206224113702774,0.3090347647666931,latest_eval
curved_mrw,0.940236747264862,0.9726116061210632,latest_eval
noisy_mono,0.117047868669033,0.2238034904003143,latest_eval
noisy_mrw,0.7830140590667725,0.8414814472198486,latest_eval
heavy_tail_distorted,0.3614746630191803,0.0381883606314659,latest_eval
regime_apparent,0.4388424158096313,0.126620277762413,latest_eval
ambiguous_mild_curvature,0.4404460489749908,0.4216080009937286,latest_eval
linear_mono,0.0275265555828809,0.1314453333616256,latest_eval
boundary_mrw,0.2439818680286407,0.3249228894710541,latest_eval
curved_mrw,0.942516267299652,0.9765995144844056,latest_eval
noisy_mono,0.127991572022438,0.2352300584316253,latest_eval
noisy_mrw,0.9063831567764282,0.9595611095428468,latest_eval
heavy_tail_distorted,0.3835110664367676,0.1032647415995597,latest_eval
regime_apparent,0.4366569519042969,0.1234651729464531,latest_eval
ambiguous_mild_curvature,0.4523526132106781,0.436104416847229,latest_eval
linear_mono,0.0252767838537693,0.128485769033432,latest_eval
boundary_mrw,0.2876295447349548,0.3561000823974609,latest_eval
curved_mrw,0.9618988037109376,0.9858732223510742,latest_eval
noisy_mono,0.1441821753978729,0.2371161729097366,latest_eval
noisy_mrw,0.1753029227256775,0.2599630057811737,latest_eval
heavy_tail_distorted,0.3474678099155426,0.0333450138568878,latest_eval
regime_apparent,0.434020072221756,0.1201185509562492,latest_eval
ambiguous_mild_curvature,0.4381043016910553,0.4234801530838012,latest_eval
linear_mono,0.0272877383977174,0.1311307400465011,latest_eval
boundary_mrw,0.2188405394554138,0.3152393996715545,latest_eval
curved_mrw,0.8002510070800781,0.8587357401847839,latest_eval
noisy_mono,0.2150562107563018,0.2955408692359924,latest_eval
noisy_mrw,0.8013057708740234,0.8589438796043396,latest_eval
heavy_tail_distorted,0.3531765043735504,0.0541574843227863,latest_eval
regime_apparent,0.4643820226192474,0.1531320065259933,latest_eval
ambiguous_mild_curvature,0.5681444406509399,0.5609144568443298,latest_eval
linear_mono,0.0252792444080114,0.128489002585411,latest_eval
boundary_mrw,0.1854169368743896,0.2961917519569397,latest_eval
curved_mrw,0.9727397561073304,0.9916545152664183,latest_eval
noisy_mono,0.206838771700859,0.2866409122943878,latest_eval
noisy_mrw,0.179027572274208,0.2723934948444366,latest_eval
heavy_tail_distorted,0.3476189076900482,0.0951188057661056,latest_eval
regime_apparent,0.4345585107803345,0.1156082823872566,latest_eval
ambiguous_mild_curvature,0.4883154928684234,0.4768218100070953,latest_eval
linear_mono,0.0167345162481069,0.1172777637839317,latest_eval
boundary_mrw,0.2598397433757782,0.337954431772232,latest_eval
curved_mrw,0.848956823348999,0.9131082892417908,latest_eval
noisy_mono,0.1187986433506012,0.2271799743175506,latest_eval
noisy_mrw,0.8945496678352356,0.9418656826019288,latest_eval
heavy_tail_distorted,0.3506980836391449,0.0470780469477176,latest_eval
regime_apparent,0.4411395788192749,0.1261425614356994,latest_eval
ambiguous_mild_curvature,0.4214470386505127,0.4130281209945678,latest_eval
linear_mono,0.0230252854526042,0.1269368827342987,latest_eval
boundary_mrw,0.2055011987686157,0.2915621995925903,latest_eval
curved_mrw,0.8514602184295654,0.9165793061256408,latest_eval
noisy_mono,0.1550919413566589,0.2537196278572082,latest_eval
noisy_mrw,0.2623689174652099,0.3195917904376983,latest_eval
heavy_tail_distorted,0.3496791422367096,0.0805776640772819,latest_eval
regime_apparent,0.4344344139099121,0.1067439615726471,latest_eval
ambiguous_mild_curvature,0.3977667391300201,0.3988615572452545,latest_eval
linear_mono,0.0233995486050844,0.1260730028152465,latest_eval
boundary_mrw,0.2252130508422851,0.3176655173301697,latest_eval
curved_mrw,0.9696720838546752,0.9894060492515564,latest_eval
noisy_mono,0.1271973103284835,0.2363185733556747,latest_eval
noisy_mrw,0.869939386844635,0.9221599698066713,latest_eval
heavy_tail_distorted,0.3312762081623077,0.0555302165448665,latest_eval
regime_apparent,0.4431257545948028,0.120599627494812,latest_eval
ambiguous_mild_curvature,0.3924252688884735,0.3587319850921631,latest_eval
linear_mono,0.018094340339303,0.1199147552251815,latest_eval
boundary_mrw,0.3797630071640014,0.4261475801467895,latest_eval
curved_mrw,0.9403671026229858,0.97452974319458,latest_eval
noisy_mono,0.1616900861263275,0.2601286470890045,latest_eval
noisy_mrw,0.2416100800037384,0.3068179786205292,latest_eval
heavy_tail_distorted,0.3704540729522705,0.0456812009215354,latest_eval
regime_apparent,0.4520983099937439,0.1430956125259399,latest_eval
ambiguous_mild_curvature,0.4307524561882019,0.4199815094470978,latest_eval
linear_mono,0.0201689265668392,0.1235362291336059,latest_eval
boundary_mrw,0.3298957347869873,0.3868770897388458,latest_eval
curved_mrw,0.8065820336341858,0.8709949254989624,latest_eval
noisy_mono,0.1594588756561279,0.262612372636795,latest_eval
noisy_mrw,0.3492718636989593,0.3847987353801727,latest_eval
heavy_tail_distorted,0.352705717086792,0.0361480489373207,latest_eval
regime_apparent,0.4316969811916351,0.1198947504162788,latest_eval
ambiguous_mild_curvature,0.41309654712677,0.4055604040622711,latest_eval
linear_mono,0.020860131829977,0.1232289373874664,latest_eval
boundary_mrw,0.1763222217559814,0.2896872758865356,latest_eval
curved_mrw,0.956230640411377,0.985270857810974,latest_eval
noisy_mono,0.1098500862717628,0.214645653963089,latest_eval
noisy_mrw,0.2434806078672409,0.3118480443954468,latest_eval
heavy_tail_distorted,0.3167711496353149,0.0317509919404983,latest_eval
regime_apparent,0.4252323508262634,0.1024905815720558,latest_eval
ambiguous_mild_curvature,0.4005627334117889,0.3995463252067566,latest_eval
linear_mono,0.0287966728210449,0.133115604519844,latest_eval
boundary_mrw,0.3500942289829254,0.4027019739151001,latest_eval
curved_mrw,0.9714070558547974,0.9905409216880798,latest_eval
noisy_mono,0.1350849121809005,0.2326563447713852,latest_eval
noisy_mrw,0.841345489025116,0.9021909832954408,latest_eval
