time,omega_t,increment,path,H,lambda2,L,seed
38.0,-0.3904291093349457,0.0031069694086909,0.2075901478528976,0.6,0.12,512,2026
39.0,-0.3921688497066498,0.0081528313457965,0.2157429754734039,0.6,0.12,512,2026
40.0,-0.391926497220993,0.0024871982168406,0.2182301729917526,0.6,0.12,512,2026
41.0,-0.3952594995498657,-0.003025381360203,0.2152047902345657,0.6,0.12,512,2026
42.0,-0.3930242657661438,-0.0016295498935505,0.2135752439498901,0.6,0.12,512,2026
43.0,-0.4029087424278259,0.0008792010485194,0.2144544422626495,0.6,0.12,512,2026
44.0,-0.404189795255661,0.0069873570464551,0.2214418053627014,0.6,0.12,512,2026
45.0,-0.3863924145698547,0.0080824196338653,0.2295242249965667,0.6,0.12,512,2026
46.0,-0.3843396008014679,0.0125880371779203,0.2421122640371322,0.6,0.12,512,2026
47.0,-0.385550856590271,-7.529677532147616e-05,0.2420369535684585,0.6,0.12,512,2026
48.0,-0.3952533900737762,0.0017114941729232,0.2437484562397003,0.6,0.12,512,2026
49.0,-0.395119160413742,0.0172863118350505,0.26103475689888,0.6,0.12,512,2026
50.0,-0.4009114801883697,0.0137047115713357,0.2747394740581512,0.6,0.12,512,2026
51.0,-0.3857494294643402,0.0103517416864633,0.28509122133255,0.6,0.12,512,2026
52.0,-0.3968918919563293,0.0159911196678876,0.3010823428630829,0.6,0.12,512,2026
53.0,-0.4069029092788696,0.0066310432739555,0.3077133893966675,0.6,0.12,512,2026
54.0,-0.3975772261619568,-0.0154522731900215,0.2922611236572265,0.6,0.12,512,2026
55.0,-0.3991691172122955,0.0046038958244025,0.2968650162220001,0.6,0.12,512,2026
56.0,-0.4035244286060333,0.0095574734732508,0.306422472000122,0.6,0.12,512,2026
57.0,-0.3962457478046417,0.0074817300774157,0.313904196023941,0.6,0.12,512,2026
58.0,-0.3952426612377167,-0.0053963651880621,0.3085078299045563,0.6,0.12,512,2026
59.0,-0.3972305953502655,-0.0114287044852972,0.2970791459083557,0.6,0.12,512,2026
60.0,-0.4071643948554992,-0.0047999564558267,0.2922791838645935,0.6,0.12,512,2026
61.0,-0.4010637998580932,-0.0196838248521089,0.2725953459739685,0.6,0.12,512,2026
62.0,-0.3988239169120788,0.0069377087056636,0.2795330584049225,0.6,0.12,512,2026
63.0,-0.3922398388385772,0.0115194590762257,0.2910525202751159,0.6,0.12,512,2026
64.0,-0.3938293159008026,-0.0113651240244507,0.2796874046325683,0.6,0.12,512,2026
65.0,-0.3909170925617218,-0.0152158020064234,0.2644715905189514,0.6,0.12,512,2026
66.0,-0.3761034905910492,-0.0138828698545694,0.2505887448787689,0.6,0.12,512,2026
67.0,-0.3742205500602722,0.005331115797162,0.2559198439121246,0.6,0.12,512,2026
68.0,-0.3640764057636261,0.0048369891010224,0.2607568502426147,0.6,0.12,512,2026
69.0,-0.3699541389942169,0.0111114243045449,0.2718682587146759,0.6,0.12,512,2026
70.0,-0.3627033233642578,0.0249561462551355,0.2968243956565857,0.6,0.12,512,2026
71.0,-0.3669061958789825,0.0023021453525871,0.2991265654563904,0.6,0.12,512,2026
72.0,-0.3572913706302643,-0.0177495591342449,0.2813769876956939,0.6,0.12,512,2026
73.0,-0.3641278147697449,-0.0061298580840229,0.2752471268177032,0.6,0.12,512,2026
74.0,-0.3761114478111267,0.008477009832859,0.2837241590023041,0.6,0.12,512,2026
75.0,-0.3711613714694977,0.0244684517383575,0.3081926107406616,0.6,0.12,512,2026
76.0,-0.376448392868042,0.0166102331131696,0.324802815914154,0.6,0.12,512,2026
77.0,-0.3741751611232757,0.0051329061388969,0.3299357295036316,0.6,0.12,512,2026
78.0,-0.3719328343868255,0.0050337286666035,0.3349694609642029,0.6,0.12,512,2026
79.0,-0.3794583082199096,-0.0022274926304817,0.3327419757843017,0.6,0.12,512,2026
80.0,-0.3728359639644623,0.0285426806658506,0.3612846434116363,0.6,0.12,512,2026
81.0,-0.3767299354076385,0.0016649762401357,0.3629496395587921,0.6,0.12,512,2026
82.0,-0.3729569017887115,0.0073841754347085,0.3703337907791137,0.6,0.12,512,2026
83.0,-0.3731617331504822,-0.0004739924916066,0.3698598146438598,0.6,0.12,512,2026
84.0,-0.3633634746074676,-0.0035142849665135,0.3663455247879028,0.6,0.12,512,2026
85.0,-0.3700970709323883,0.0080669037997722,0.3744124174118042,0.6,0.12,512,2026
86.0,-0.3654446601867676,-0.0237951278686523,0.3506172895431518,0.6,0.12,512,2026
87.0,-0.3776527047157287,0.002037365688011,0.3526546657085418,0.6,0.12,512,2026
88.0,-0.3853248059749603,-0.0115114571526646,0.3411432206630707,0.6,0.12,512,2026
89.0,-0.3803894221782684,-0.0002808340941555,0.340862363576889,0.6,0.12,512,2026
90.0,-0.398123949766159,-0.0028586809057742,0.3380036950111389,0.6,0.12,512,2026
91.0,-0.3952499032020569,-0.0066227889619767,0.3313809037208557,0.6,0.12,512,2026
92.0,-0.3891189992427826,0.0041745943017303,0.3355554938316345,0.6,0.12,512,2026
93.0,-0.3838496208190918,-0.0113956350833177,0.3241598606109619,0.6,0.12,512,2026
94.0,-0.3842273652553558,-0.000112568573968,0.3240472972393036,0.6,0.12,512,2026
95.0,-0.381661981344223,-0.0027244586963206,0.3213228285312652,0.6,0.12,512,2026
96.0,-0.3772255480289459,-0.0012499700533226,0.3200728595256805,0.6,0.12,512,2026
97.0,-0.3731682300567627,0.0122342901304364,0.3323071599006653,0.6,0.12,512,2026
98.0,-0.3755419254302978,0.012058793567121,0.3443659543991089,0.6,0.12,512,2026
99.0,-0.3734271824359894,0.0179177224636077,0.3622836768627167,0.6,0.12,512,2026
100.0,-0.3715603649616241,0.0117893451824784,0.3740730285644531,0.6,0.12,512,2026
101.0,-0.3659942746162414,-0.0112306019291281,0.3628424108028412,0.6,0.12,512,2026
102.0,-0.3599542081356048,0.0096538066864013,0.3724962174892425,0.6,0.12,512,2026
103.0,-0.3627594709396362,-0.0193351190537214,0.353161096572876,0.6,0.12,512,2026
104.0,-0.3733009696006775,-0.0160861704498529,0.3370749354362488,0.6,0.12,512,2026
105.0,-0.372161328792572,0.0074531910941004,0.3445281386375427,0.6,0.12,512,2026
106.0,-0.3756144344806671,-0.0132084274664521,0.3313196897506714,0.6,0.12,512,2026
107.0,-0.3884409070014953,0.0026480099186301,0.3339677155017853,0.6,0.12,512,2026
108.0,-0.3881188333034515,-0.0024118637666106,0.3315558433532715,0.6,0.12,512,2026
109.0,-0.3893296718597412,-0.0205198116600513,0.3110360205173492,0.6,0.12,512,2026
110.0,-0.3885487616062164,0.0030820295214653,0.3141180574893951,0.6,0.12,512,2026
111.0,-0.3937195837497711,0.0033847661688923,0.3175028264522552,0.6,0.12,512,2026
112.0,-0.393958032131195,-0.0031387829221785,0.3143640458583832,0.6,0.12,512,2026
