t,x,dx,omega,H,lambda2,L,seed
62.0,0.2795330584049225,0.006937708705663681,-0.39882391691207886,0.6,0.12,512,2026
63.0,0.29105252027511597,0.011519459076225758,-0.39223983883857727,0.6,0.12,512,2026
64.0,0.27968740463256836,-0.011365124024450779,-0.3938293159008026,0.6,0.12,512,2026
65.0,0.2644715905189514,-0.015215802006423473,-0.3909170925617218,0.6,0.12,512,2026
66.0,0.2505887448787689,-0.013882869854569435,-0.3761034905910492,0.6,0.12,512,2026
67.0,0.25591984391212463,0.005331115797162056,-0.3742205500602722,0.6,0.12,512,2026
68.0,0.26075685024261475,0.004836989101022482,-0.3640764057636261,0.6,0.12,512,2026
69.0,0.2718682587146759,0.011111424304544926,-0.3699541389942169,0.6,0.12,512,2026
70.0,0.2968243956565857,0.024956146255135536,-0.3627033233642578,0.6,0.12,512,2026
71.0,0.2991265654563904,0.002302145352587104,-0.36690619587898254,0.6,0.12,512,2026
72.0,0.28137698769569397,-0.01774955913424492,-0.3572913706302643,0.6,0.12,512,2026
73.0,0.27524712681770325,-0.006129858084022999,-0.3641278147697449,0.6,0.12,512,2026
74.0,0.2837241590023041,0.00847700983285904,-0.3761114478111267,0.6,0.12,512,2026
75.0,0.3081926107406616,0.024468451738357544,-0.3711613714694977,0.6,0.12,512,2026
76.0,0.32480281591415405,0.01661023311316967,-0.376448392868042,0.6,0.12,512,2026
77.0,0.3299357295036316,0.005132906138896942,-0.37417516112327576,0.6,0.12,512,2026
78.0,0.3349694609642029,0.005033728666603565,-0.37193283438682556,0.6,0.12,512,2026
79.0,0.33274197578430176,-0.00222749263048172,-0.37945830821990967,0.6,0.12,512,2026
80.0,0.36128464341163635,0.02854268066585064,-0.3728359639644623,0.6,0.12,512,2026
81.0,0.3629496395587921,0.0016649762401357293,-0.37672993540763855,0.6,0.12,512,2026
82.0,0.37033379077911377,0.007384175434708595,-0.37295690178871155,0.6,0.12,512,2026
83.0,0.36985981464385986,-0.00047399249160662293,-0.3731617331504822,0.6,0.12,512,2026
84.0,0.36634552478790283,-0.0035142849665135145,-0.36336347460746765,0.6,0.12,512,2026
85.0,0.3744124174118042,0.008066903799772263,-0.3700970709323883,0.6,0.12,512,2026
86.0,0.35061728954315186,-0.023795127868652344,-0.3654446601867676,0.6,0.12,512,2026
87.0,0.35265466570854187,0.0020373656880110502,-0.37765270471572876,0.6,0.12,512,2026
88.0,0.3411432206630707,-0.011511457152664661,-0.3853248059749603,0.6,0.12,512,2026
89.0,0.34086236357688904,-0.0002808340941555798,-0.38038942217826843,0.6,0.12,512,2026
90.0,0.3380036950111389,-0.0028586809057742357,-0.39812394976615906,0.6,0.12,512,2026
91.0,0.3313809037208557,-0.006622788961976767,-0.3952499032020569,0.6,0.12,512,2026
92.0,0.3355554938316345,0.004174594301730394,-0.3891189992427826,0.6,0.12,512,2026
93.0,0.3241598606109619,-0.011395635083317757,-0.3838496208190918,0.6,0.12,512,2026
