source_name,n_windows,mean_lambda2_gap_shuffle,mean_p_MRW_gap_shuffle,mean_f_width_gap_shuffle,mean_logvol_gap_shuffle,mean_lambda2_gap_block,mean_p_MRW_gap_block,mean_f_width_gap_block,mean_logvol_gap_block
F-F_Momentum_Factor_daily:Mom,102,0.013665836530297154,0.022089636848949313,0.02733167306059429,0.029375706438809497,-0.01352401194144044,-0.021065703006605846,-0.027048023882880946,-0.01635605611673091
F-F_Research_Data_Factors_daily:HML,102,0.00999318745249265,0.015481459671782289,0.01998637490498524,0.01803971911104805,-0.005493696992735174,-0.008784951977304526,-0.010987393985470351,-0.010488618868836225
F-F_Research_Data_Factors_daily:Mkt-RF,102,0.00856816460512993,0.016168707751811503,0.017136329210259822,0.021100319248332708,-0.004668379509369028,-0.007212242041753413,-0.009336759018738098,-0.008087925226712207
F-F_Research_Data_Factors_daily:SMB,102,0.01288659896996658,0.01976269577719127,0.025773197939933188,0.0238309167676521,0.0002931596778245868,-0.0011008449347183437,0.000586319355649186,-0.0028533324449560556
