T,estimator,mean_value,std_value,n_seeds,metric
512,structure_smoothed,0.22715657098372802,0.02354671211261,3,mean_mrw_vs_mono_gain
512,structure_trimmed,0.20906780025021968,0.017156889453248045,3,mean_mrw_vs_mono_gain
1024,structure_bootstrap,0.1805850250087436,0.03065097515330984,3,mean_mrw_vs_mono_gain
1024,structure_ols,0.19542990735923615,0.016371244328664845,3,mean_mrw_vs_mono_gain
1024,structure_smoothed,0.19653138917594026,0.03385411098534335,3,mean_mrw_vs_mono_gain
1024,structure_trimmed,0.1805850250087436,0.03065097515330984,3,mean_mrw_vs_mono_gain
2048,structure_bootstrap,0.15765499781931183,0.01836858899599551,3,mean_mrw_vs_mono_gain
2048,structure_ols,0.1598615961568915,0.05789767581597848,3,mean_mrw_vs_mono_gain
2048,structure_smoothed,0.16669965634203732,0.019606022616727368,3,mean_mrw_vs_mono_gain
2048,structure_trimmed,0.15765499781931183,0.01836858899599551,3,mean_mrw_vs_mono_gain
512,structure_bootstrap,0.8229166666666666,0.03252603124165832,3,warning_rate
512,structure_ols,0.8229166666666666,0.03252603124165832,3,warning_rate
512,structure_smoothed,0.8229166666666666,0.03252603124165832,3,warning_rate
512,structure_trimmed,0.8229166666666666,0.03252603124165832,3,warning_rate
1024,structure_bootstrap,0.7135416666666666,0.05487319662944133,3,warning_rate
1024,structure_ols,0.7135416666666666,0.05487319662944133,3,warning_rate
1024,structure_smoothed,0.7135416666666666,0.05487319662944133,3,warning_rate
1024,structure_trimmed,0.7135416666666666,0.05487319662944133,3,warning_rate
2048,structure_bootstrap,0.625,0.03125,3,warning_rate
2048,structure_ols,0.625,0.03125,3,warning_rate
2048,structure_smoothed,0.625,0.03125,3,warning_rate
2048,structure_trimmed,0.625,0.03125,3,warning_rate
