T,H_true,lambda2_true,sample_idx,estimator,lambda2_proj,H_proj,zeta_mae,second_diff_norm,curvature_score,mrw_residual_norm,mono_residual_norm,mrw_vs_mono_gain,scaling_fit_quality,high_q_instability,warning_flags
512,0.4,0.0,0,structure_aggregated_ols,0.010159702971577644,0.33724138140678406,0.11102730482816703,0.0017403066158294678,0.05009329319000244,0.0012686178088188171,0.00576058542355895,0.7796409130096436,0.9867309223597567,0.16241689502379286,0.0
512,0.4,0.0,0,mfdfa,0.055731359869241714,0.40684425830841064,0.031228695809841157,0.012338623404502869,0.27066072821617126,0.0025190238375216722,0.03081662952899933,0.9182277917861938,0.9837818975495249,0.16443692244381541,0.0
512,0.4,0.0,0,mfdfa_quadratic,0.029740244150161743,0.4058312773704529,0.016533120969931286,0.006451636552810669,0.16236773133277893,0.0015539750456809998,0.016494810581207275,0.9057351350784302,0.98921261669118,0.18238355458198474,0.0
512,0.4,0.0,0,wavelet_leader_haar,1.0000003385357559e-06,0.34795427322387695,0.08686992724736538,0.0072807371616363525,0.17896322906017303,0.01588653214275837,0.015386730432510376,0.0,0.9868560521756069,0.1955427416532099,0.0
512,0.4,0.0,0,wtmm_haar,1.0000003385357559e-06,0.34175634384155273,0.09668013900518424,0.008741796016693115,0.20817510783672333,0.02173287607729435,0.02066790871322155,0.0,0.9877299157700937,0.19795299001994637,0.0
512,0.4,0.0,1,structure_aggregated_ols,0.02772689051926136,0.43109214305877686,0.05083017100890472,0.0056307315826416016,0.14523640275001526,0.001962127862498164,0.015439261682331562,0.8728565573692322,0.9956517775908833,0.19683397328802454,0.0
512,0.4,0.0,1,mfdfa,0.05561221390962601,0.45795488357543945,0.09396778841813398,0.01201397180557251,0.26543498039245605,0.002971666632220149,0.0308393407613039,0.9036111235618591,0.9655308302210451,0.19059982545923354,0.0
512,0.4,0.0,1,mfdfa_quadratic,0.027770044282078743,0.45318469405174255,0.08908735762039814,0.006743758916854858,0.1682044118642807,0.00030123195028863847,0.015193179249763489,0.9801086783409119,0.9938504651314234,0.20611475876675694,0.0
512,0.4,0.0,1,wavelet_leader_haar,1.0000003385357559e-06,0.3734467923641205,0.04594676891962693,0.0010852068662643433,0.0312134250998497,0.0013254880905151367,0.0013499656924977899,0.018118595704436302,0.9860188361101011,0.18936000247585721,0.0
512,0.4,0.0,1,wtmm_haar,1.0000003385357559e-06,0.35554271936416626,0.07559079627196,0.003360062837600708,0.09262899309396744,0.011174735613167286,0.010124956257641315,0.0,0.9803507918052622,0.18922017864822327,0.0
512,0.4,0.0,2,structure_aggregated_ols,1.0000003385357559e-06,0.3437802791595459,0.09478279153505968,0.005896516144275665,0.1497172862291336,0.015178479254245758,0.01429604459553957,0.0,0.9796602092417102,0.1898841193296038,0.0
512,0.4,0.0,2,mfdfa,0.03815489634871483,0.4962843954563141,0.16341886222362512,0.00825047492980957,0.1996520757675171,0.0020338445901870728,0.021101439371705055,0.9035729765892029,0.992184886003214,0.22165220450892287,0.0
512,0.4,0.0,2,mfdfa_quadratic,0.008947907947003841,0.47411561012268066,0.12875593503316238,0.0014227479696273804,0.04018435999751091,0.0015943372854962945,0.0051476359367370605,0.6901437640190125,0.9958989430997565,0.23211197863728444,0.0
512,0.4,0.0,2,wavelet_leader_haar,1.0000003385357559e-06,0.38285285234451294,0.02791259884834295,0.0034426450729370117,0.0932687446475029,0.008734655566513538,0.008266930468380451,0.0,0.9691594969456125,0.20200467254548965,0.0
512,0.4,0.0,2,wtmm_haar,1.0000003385357559e-06,0.3573656380176544,0.06961805820465093,0.007778346538543701,0.18970826268196106,0.02356257475912571,0.021672412753105164,0.0,0.983373557903545,0.20422243019161573,0.0
512,0.4,0.0,3,structure_aggregated_ols,0.046870194375514984,0.40562722086906433,0.026333885391553246,0.010158732533454895,0.2339114546775818,0.002401630161330104,0.025976598262786865,0.9075114727020264,0.9985657605893978,0.17033350667327918,0.0
512,0.4,0.0,3,mfdfa,0.046141475439071655,0.45597735047340393,0.09163122177124017,0.010352745652198792,0.2370847463607788,0.0017824644455686212,0.025474177673459053,0.9299920797348022,0.9946125500749181,0.19535897932413204,0.0
512,0.4,0.0,3,mfdfa_quadratic,0.04668939486145973,0.4206284284591675,0.03186337848504384,0.011205628514289856,0.25143808126449585,0.0007268215413205326,0.02559172548353672,0.9715614318847656,0.9873410323726025,0.17615943420736013,0.0
512,0.4,0.0,3,wavelet_leader_haar,1.0000003385357559e-06,0.389356791973114,0.01764107694228496,0.001504749059677124,0.04205835983157158,0.0050953528843820095,0.0045803263783454895,0.0,0.9938762585534519,0.19961749240498428,0.0
512,0.4,0.0,3,wtmm_haar,1.0000003385357559e-06,0.3761884272098541,0.03938855429490413,0.003376677632331848,0.09250767529010773,0.011772513389587402,0.01061742752790451,0.0,0.992010750788975,0.19979654509916983,0.0
512,0.4,0.0,4,structure_aggregated_ols,1.0000003385357559e-06,0.46677303314208984,0.11737604488929106,0.0008444041013717651,0.024036603048443794,0.0032098889350891113,0.002790880622342229,0.0,0.9915254949531808,0.23607158530355699,0.0
512,0.4,0.0,4,mfdfa,0.041460685431957245,0.45551690459251404,0.09156839599212004,0.009075909852981567,0.21465203166007996,0.0020194947719573975,0.022937757894396782,0.9119178652763367,0.9856271501627649,0.1988681374473042,0.0
512,0.4,0.0,4,mfdfa_quadratic,0.016733644530177116,0.4280696213245392,0.046676129599412225,0.004263967275619507,0.11398965120315552,0.00022604565310757607,0.009065988473594189,0.9749590158462524,0.9902229274180167,0.20128683965726485,0.0
512,0.4,0.0,4,wavelet_leader_haar,0.014087525196373463,0.40728461742401123,0.010551675657431286,0.003970697522163391,0.1061498373746872,0.0007265334133990109,0.007548905909061432,0.9036367535591125,0.9573090544970744,0.19225993185052803,0.0
512,0.4,0.0,4,wtmm_haar,1.0000003385357559e-06,0.37074944376945496,0.050732989609241545,0.00157831609249115,0.042802199721336365,0.004328963812440634,0.0035182684659957886,0.0,0.9795535261006852,0.18772732724831565,0.0
512,0.4,0.0,5,structure_aggregated_ols,0.008392601273953915,0.3764995038509369,0.04250966707865403,0.0025503337383270264,0.07078145444393158,0.0006527304649353027,0.004465460777282715,0.8536357283592224,0.9958240358216407,0.18128908486490902,0.0
512,0.4,0.0,5,mfdfa,0.05692742019891739,0.41637521982192993,0.03200978736082713,0.01188609004020691,0.26385146379470825,0.003676568390801549,0.0316527895629406,0.883819043636322,0.9729768739269452,0.16951564366456934,0.0
512,0.4,0.0,5,mfdfa_quadratic,0.040875643491744995,0.44201964139938354,0.06797001063823695,0.009088367223739624,0.214655339717865,0.0017762953648343682,0.022588150575757027,0.9213208556175232,0.9951445217319831,0.19232768451192955,0.0
512,0.4,0.0,5,wavelet_leader_haar,0.027482686564326286,0.34580984711647034,0.09851823449134833,0.005938619375228882,0.15150582790374756,0.0014779741177335382,0.015245665796101093,0.902996838092804,0.9900834080004404,0.15396839625299963,0.0
512,0.4,0.0,5,wtmm_haar,1.0000003385357559e-06,0.3140851855278015,0.1502347831924757,0.0006511285901069641,0.018131444230675697,0.0015483647584915161,0.0012349983444437385,0.0,0.985488475724957,0.15765543984503827,0.0
512,0.4,0.0,6,structure_aggregated_ols,0.006294070277363062,0.3044931888580322,0.1679965476195018,0.0013974159955978394,0.04021277651190758,0.0005097563262097538,0.0035245120525360107,0.8551256060600281,0.9495460555697212,0.14814809374797144,0.0
512,0.4,0.0,6,mfdfa,0.07823610305786133,0.4630894064903259,0.09961130023002618,0.01780228316783905,0.3485580086708069,0.0027223676443099976,0.04311271384358406,0.9368329644203186,0.9742122625736175,0.1758628826511039,0.0
512,0.4,0.0,6,mfdfa_quadratic,0.04522920399904251,0.5036178827285767,0.17486318250497176,0.010924115777015686,0.24682123959064484,0.0005994836683385074,0.024761348962783813,0.9757501482963562,0.9864179103749647,0.21858101832167742,0.0
512,0.4,0.0,6,wavelet_leader_haar,1.0000003385357559e-06,0.373171865940094,0.04584115445613867,0.0016253739595413208,0.04654527083039284,0.005851296242326498,0.005238550249487162,0.0,0.9841556898093023,0.19219243353522308,0.0
512,0.4,0.0,6,wtmm_haar,1.0000003385357559e-06,0.34851083159446716,0.08659334927797324,0.005286574363708496,0.13773296773433685,0.017729906365275383,0.016069814562797546,0.0,0.9756500429739434,0.19231696997508735,0.0
512,0.4,0.0,7,structure_aggregated_ols,0.008519263006746769,0.3832244575023651,0.03063936978578573,0.002238824963569641,0.06281987577676773,0.00021938979625701904,0.0046015107072889805,0.9521153569221497,0.9986901688910693,0.18495430079694714,0.0
512,0.4,0.0,7,mfdfa,0.06100085377693176,0.43063119053840637,0.045306894183158815,0.013561055064201355,0.2897967994213104,0.002661118982359767,0.033703166991472244,0.921015202999115,0.9909658172085792,0.17250285689614675,0.0
512,0.4,0.0,7,mfdfa_quadratic,0.03415900096297264,0.40668725967407227,0.01878744314114253,0.00809575617313385,0.19547724723815918,0.0006934950943104923,0.018742568790912628,0.9629475474357605,0.9961225451042076,0.17851121572069278,0.0
512,0.4,0.0,7,wavelet_leader_haar,1.0000003385357559e-06,0.32603180408477783,0.12773977418740598,0.0028071627020835876,0.07735234498977661,0.007041322533041239,0.006689146161079407,0.0,0.9618202378635896,0.17166695692613065,0.0
512,0.4,0.0,7,wtmm_haar,1.0000003385357559e-06,0.3215346038341522,0.13495895216862366,0.003665141761302948,0.09940089285373688,0.011132541112601757,0.010248132050037384,0.0,0.9902726153704494,0.17288827178865596,0.0
512,0.4,0.0,8,structure_aggregated_ols,0.03302782401442528,0.4266117811203003,0.042057840029398545,0.007398664951324463,0.18204839527606964,0.0013138899812474847,0.018222689628601074,0.9278472065925598,0.99844509368288,0.18995016504115786,0.0
512,0.4,0.0,8,mfdfa,0.053486019372940063,0.46021905541419983,0.09825318853060398,0.011489585041999817,0.257144957780838,0.002942810533568263,0.029650432989001274,0.9007194638252258,0.9939257721680215,0.19321107847723257,0.0
512,0.4,0.0,8,mfdfa_quadratic,0.020992038771510124,0.44974902272224426,0.08417902936538053,0.004743248224258423,0.1248612105846405,0.0007966210250742733,0.011576749384403229,0.9311074018478394,0.9955701471215727,0.21001014660684308,0.0
512,0.4,0.0,8,wavelet_leader_haar,0.007533310446888208,0.3940197229385376,0.011828492581844383,0.0012459754943847656,0.036641500890254974,0.0010280782589688897,0.004278066102415323,0.7595087289810181,0.9987822703875605,0.1924961003713489,0.0
512,0.4,0.0,8,wtmm_haar,1.0000003385357559e-06,0.3763112425804138,0.039870765805244505,0.002435818314552307,0.06825687736272812,0.007602083031088114,0.006973914802074432,0.0,0.9962860025857624,0.19629306422510284,0.0
512,0.4,0.0,9,structure_aggregated_ols,1.0000003385357559e-06,0.40034225583076477,0.013414397339026116,0.0036901235580444336,0.10038899630308151,0.013158258982002735,0.011847254820168018,0.0,0.98635870468035,0.2131858006051514,0.0
512,0.4,0.0,9,mfdfa,0.03464966639876366,0.4805811941623688,0.13653582135836276,0.007058098912239075,0.17561407387256622,0.0025316874962300062,0.019317306578159332,0.868897020816803,0.9902079822698254,0.21708863788443222,0.0
512,0.4,0.0,9,mfdfa_quadratic,1.0000003385357559e-06,0.4612807333469391,0.10814135571320845,0.0029091984033584595,0.07317331433296204,0.0027304787654429674,0.002849079668521881,0.04161318764090538,0.9971111342648579,0.23523020658879656,0.0
512,0.4,0.0,9,wavelet_leader_haar,1.0000003385357559e-06,0.380569726228714,0.032387126982212126,0.0025530457496643066,0.07091901451349258,0.007285915315151215,0.006762464996427298,0.0,0.9890435096341318,0.19842592740571852,0.0
512,0.4,0.0,9,wtmm_haar,1.0000003385357559e-06,0.37469181418418884,0.04121858328580862,0.0046046823263168335,0.12193446606397629,0.015478166751563549,0.014035980217158794,0.0,0.9781996873605596,0.20311256057301452,0.0
512,0.4,0.03,0,structure_aggregated_ols,1.0000003385357559e-06,0.30563437938690186,0.15987857460975655,0.0015790686011314392,0.04329463094472885,0.006571235600858927,0.005563654005527496,0.0,0.9809174301892482,0.15756707765593309,0.0
512,0.4,0.03,0,mfdfa,0.059974852949380875,0.477255642414093,0.13161837279796593,0.012762516736984253,0.2777475118637085,0.0034846763592213392,0.03328191116452217,0.895271360874176,0.9633135302937935,0.1974558174701765,0.0
512,0.4,0.03,0,mfdfa_quadratic,0.04500744119286537,0.4571498930454254,0.09811938027540835,0.010389328002929688,0.23777484893798828,0.0013538250932469964,0.024775035679340363,0.9453171491622925,0.9785767745949405,0.19635297780858213,0.0
512,0.4,0.03,0,wavelet_leader_haar,1.0000003385357559e-06,0.3727664649486542,0.043062938054402734,0.0013003051280975342,0.035664673894643784,0.003244628431275487,0.002593718469142914,0.0,0.975708507265796,0.18760766465913947,0.0
512,0.4,0.03,0,wtmm_haar,1.0000003385357559e-06,0.3717189431190491,0.04391280094782518,0.0023197531700134277,0.06190576031804085,0.008917194791138172,0.007525064051151276,0.0,0.9787949829351482,0.19221143501581422,0.0
512,0.4,0.03,1,structure_aggregated_ols,0.0017533007776364684,0.42984697222709656,0.05604066421588255,0.0014666467905044556,0.03934459388256073,0.0013501221546903253,0.0015523905167356133,0.13021089136600494,0.994610901033477,0.21215041682888608,0.0
512,0.4,0.03,1,mfdfa,0.05631917342543602,0.4706192910671234,0.1205345314741134,0.011841922998428345,0.26294270157814026,0.003525932552292943,0.031308602541685104,0.8873530030250549,0.9780256488879004,0.19698049958128444,0.0
512,0.4,0.03,1,mfdfa_quadratic,0.030873985961079597,0.4679318070411682,0.11911540697018298,0.006675198674201965,0.1671833097934723,0.0016425549983978271,0.017120910808444023,0.904008686542511,0.9782723752534283,0.21265654116444893,0.0
512,0.4,0.03,1,wavelet_leader_haar,0.0001567006402183324,0.3785661458969116,0.03329207032918936,0.0006124824285507202,0.015826383605599403,0.0005988553166389465,0.000616908073425293,0.029215926304459572,0.971627268027684,0.18850723258052027,0.0
512,0.4,0.03,1,wtmm_haar,1.0000003385357559e-06,0.3643685579299927,0.056109528044859636,0.0027440637350082397,0.07677667587995529,0.009905800223350525,0.008876979351043701,0.0,0.9883832281734074,0.19177748394714056,0.0
512,0.4,0.03,2,structure_aggregated_ols,0.015709491446614265,0.3483978509902954,0.08810355544090277,0.003587469458580017,0.09723640978336334,0.0005817164783366024,0.008672349154949188,0.9328153133392334,0.9729707407652967,0.16312039586456883,0.0
512,0.4,0.03,2,mfdfa,0.04101330041885376,0.35977181792259216,0.07150258650382367,0.008810743689537048,0.20953558385372162,0.0022654857020825148,0.022754477337002754,0.9003982543945312,0.952582130202488,0.15165839049228685,0.0
512,0.4,0.03,2,mfdfa_quadratic,0.024655699729919434,0.33710217475891113,0.10910491426785794,0.005612269043922424,0.14417442679405212,0.0008659635786898434,0.013598531484603882,0.9362505078315735,0.984638486879096,0.15105006960389972,0.0
512,0.4,0.03,2,wavelet_leader_haar,1.0000003385357559e-06,0.26483017206192017,0.2292397906879585,0.004826687276363373,0.1264231950044632,0.012324828654527664,0.011662044562399387,0.0,0.9397344507540701,0.14739966606052746,0.0
512,0.4,0.03,2,wtmm_haar,1.0000003385357559e-06,0.2541360855102539,0.24665058309833218,0.0067634060978889465,0.16892699897289276,0.01903851516544819,0.0177235659211874,0.0,0.9536723880319488,0.14877157762189636,0.0
512,0.4,0.03,3,structure_aggregated_ols,0.0061168065294623375,0.33198150992393494,0.1160755011439324,0.0029899179935455322,0.08114650100469589,0.00223299372009933,0.003696434199810028,0.395798921585083,0.9857809147131106,0.159036139149205,0.0
512,0.4,0.03,3,mfdfa,0.04668673127889633,0.4539177119731903,0.09249183257420851,0.01006607711315155,0.23263411223888397,0.0024785969872027636,0.02586563490331173,0.9041391611099243,0.9972055789965694,0.19463258053549892,0.0
512,0.4,0.03,3,mfdfa_quadratic,0.015262304805219173,0.43165069818496704,0.05775528371334069,0.0032060444355010986,0.08814171701669693,0.0009586960077285767,0.008481639437377453,0.8868634700775146,0.9909801965822117,0.20543203276530353,0.0
512,0.4,0.03,3,wavelet_leader_haar,1.0000003385357559e-06,0.33886346220970154,0.10096655319134401,0.0029411017894744873,0.08055994659662247,0.0057624452747404575,0.005578781012445688,0.0,0.9899784618683847,0.17778714554847713,0.0
512,0.4,0.03,3,wtmm_haar,1.0000003385357559e-06,0.327622652053833,0.11906210859616605,0.005293041467666626,0.13715790212154388,0.013653946109116077,0.012915663421154022,0.0,0.9895237521484258,0.1804280630850814,0.0
512,0.4,0.03,4,structure_aggregated_ols,0.0013887884560972452,0.33229100704193115,0.11396220107873288,0.0011029541492462158,0.02829597145318985,0.001494611264206469,0.0014590671053156257,0.0,0.9984263586308052,0.16667876388530822,0.0
512,0.4,0.03,4,mfdfa,0.04925590753555298,0.38702094554901123,0.02642069280147558,0.01088222861289978,0.2464975118637085,0.002255156636238098,0.02724817581474781,0.9172027707099915,0.9724319949436123,0.15910391073396118,0.0
512,0.4,0.03,4,mfdfa_quadratic,0.019925860688090324,0.4062362611293793,0.012487359046935972,0.004676163196563721,0.12309470772743225,0.0004774034023284912,0.010945968329906464,0.9562980532646179,0.9939594805272995,0.18871353700268373,0.0
512,0.4,0.03,4,wavelet_leader_haar,0.003024905454367399,0.3639656603336334,0.05922664235035585,0.0010399818420410156,0.030049508437514305,0.00045330324792303145,0.0016104331007227302,0.7180750370025635,0.9843845493166263,0.17920860161104196,0.0
512,0.4,0.03,4,wtmm_haar,1.0000003385357559e-06,0.2886853814125061,0.18718206415573765,0.005084708333015442,0.13300783932209015,0.015222196467220783,0.014045734889805317,0.0,0.9746178366209426,0.16113188097649978,0.0
512,0.4,0.03,5,structure_aggregated_ols,1.0000003385357559e-06,0.28494495153427124,0.19694619158903767,0.00022564828395843506,0.003912873566150665,0.00024268776178359985,0.0002139831631211564,0.0,0.9886729057124234,0.1426085857423755,0.0
512,0.4,0.03,5,mfdfa,0.06750332564115524,0.4074713885784149,0.02113231350978216,0.014394953846931458,0.30255788564682007,0.0038469608407467604,0.0374399833381176,0.8972259759902954,0.97794195495094,0.15727534732269294,0.0
512,0.4,0.03,5,mfdfa_quadratic,0.038179513067007065,0.4085562527179718,0.0139076532920201,0.009195536375045776,0.21643701195716858,0.0005520482663996518,0.020895197987556458,0.9735335111618042,0.994239888859751,0.17624204639843716,0.0
512,0.4,0.03,5,wavelet_leader_haar,0.014069141820073128,0.29992711544036865,0.17279232571522404,0.003470785915851593,0.09419459849596024,6.423145532608032e-05,0.007682405412197113,0.9915100932121277,0.9500673381996577,0.13948327329736032,0.0
512,0.4,0.03,5,wtmm_haar,1.0000003385357559e-06,0.27354443073272705,0.21680270661910384,0.0013829395174980164,0.037487100809812546,0.0033496718388050795,0.0027158658485859632,0.0,0.9662339986668608,0.13759808347983737,0.0
512,0.4,0.03,6,structure_aggregated_ols,0.027527837082743645,0.34028196334838867,0.10390893896420804,0.006198078393936157,0.15700748562812805,0.0009936863789334893,0.0151722626760602,0.9344447255134583,0.9934145137702578,0.15054125473502983,0.0
512,0.4,0.03,6,mfdfa,0.060759615153074265,0.4388025999069214,0.06422249694665266,0.012909278273582458,0.279946506023407,0.003561064600944519,0.03373158723115921,0.8944029211997986,0.9801906951081382,0.17775162741575545,0.0
512,0.4,0.03,6,mfdfa_quadratic,0.024027768522500992,0.42993244528770447,0.053470700681209495,0.005363732576370239,0.13869039714336395,0.0010100975632667542,0.013283751904964447,0.9238903522491455,0.9897348185262217,0.19810155542993108,0.0
512,0.4,0.03,6,wavelet_leader_haar,0.009216278791427612,0.3578442335128784,0.07065023263295499,0.002064436674118042,0.058667562901973724,0.00037291893386282027,0.005076808389276266,0.9263622164726257,0.894083041487014,0.17239230421898438,0.0
512,0.4,0.03,6,wtmm_haar,1.0000003385357559e-06,0.319786012172699,0.1336063546935718,0.003563918173313141,0.09713681787252426,0.012195020914077759,0.011045699007809162,0.0,0.9767219318976276,0.17226193765549214,0.0
512,0.4,0.03,7,structure_aggregated_ols,0.009003310464322567,0.47550681233406067,0.13464939812819157,0.003737702965736389,0.09928279370069504,0.0022918805480003357,0.004790186882019043,0.5214378833770752,0.9963552099073332,0.22862234021175265,0.0
512,0.4,0.03,7,mfdfa,0.037402600049972534,0.5225504636764526,0.21417560895284007,0.007163554430007935,0.17836381494998932,0.003416200401261449,0.02094791829586029,0.8368793725967407,0.977846117092354,0.23689464632458257,0.0
