factor,window_id,time_index,metric,original_value,shuffled_value,gap
F-F_Momentum_Factor_daily:Mom,12,1938-09-14,p_MRW,0.7624515043734064,0.7453915393001787,0.0170599650732277
F-F_Momentum_Factor_daily:Mom,12,1938-09-14,f_alpha_width,0.0745016320973132,0.0782849171246957,-0.0037832850273825
F-F_Momentum_Factor_daily:Mom,12,1938-09-14,logvol_cov_slope,0.0442178151015176,0.0128437194646823,0.0313740956368352
F-F_Momentum_Factor_daily:Mom,13,1939-07-18,lambda2,0.0332159075859954,0.0379353167939893,-0.0047194092079939
F-F_Momentum_Factor_daily:Mom,13,1939-07-18,p_MRW,0.7571877378222651,0.7645002967272229,-0.0073125589049577
F-F_Momentum_Factor_daily:Mom,13,1939-07-18,f_alpha_width,0.066431815171991,0.0758706335879785,-0.0094388184159874
F-F_Momentum_Factor_daily:Mom,13,1939-07-18,logvol_cov_slope,0.0475377505665984,0.0401232174671945,0.0074145330994038
F-F_Momentum_Factor_daily:Mom,14,1940-05-18,lambda2,0.1323423983413346,0.1074960766435911,0.0248463216977434
F-F_Momentum_Factor_daily:Mom,14,1940-05-18,p_MRW,0.845243890300219,0.7830362801836886,0.0622076101165303
F-F_Momentum_Factor_daily:Mom,14,1940-05-18,f_alpha_width,0.2646847966826693,0.2149921532871819,0.0496926433954874
F-F_Momentum_Factor_daily:Mom,14,1940-05-18,logvol_cov_slope,0.0816652568981642,0.003529605750524,0.0781356511476401
F-F_Momentum_Factor_daily:Mom,15,1941-03-21,lambda2,0.1275086890478808,0.0536832167957381,0.0738254722521427
F-F_Momentum_Factor_daily:Mom,15,1941-03-21,p_MRW,0.8386678517807777,0.7339299765283774,0.1047378752524003
F-F_Momentum_Factor_daily:Mom,15,1941-03-21,f_alpha_width,0.2550173780957616,0.1073664335914761,0.1476509445042855
F-F_Momentum_Factor_daily:Mom,15,1941-03-21,logvol_cov_slope,0.0754361033042085,0.0094961897899244,0.065939913514284
F-F_Momentum_Factor_daily:Mom,16,1942-01-21,lambda2,0.0684561909951473,0.0348775202099231,0.0335786707852241
F-F_Momentum_Factor_daily:Mom,16,1942-01-21,p_MRW,0.7885126985259652,0.742610365941879,0.0459023325840861
F-F_Momentum_Factor_daily:Mom,16,1942-01-21,f_alpha_width,0.1369123819902945,0.0697550404198456,0.0671573415704488
F-F_Momentum_Factor_daily:Mom,16,1942-01-21,logvol_cov_slope,0.0432895257588256,0.0126859754110741,0.0306035503477514
F-F_Momentum_Factor_daily:Mom,17,1942-11-21,lambda2,0.0595864285345922,0.0150423210920949,0.0445441074424973
F-F_Momentum_Factor_daily:Mom,17,1942-11-21,p_MRW,0.7527115079577958,0.7176695863231879,0.0350419216346079
F-F_Momentum_Factor_daily:Mom,17,1942-11-21,f_alpha_width,0.1191728570691843,0.0300846421841902,0.089088214884994
F-F_Momentum_Factor_daily:Mom,17,1942-11-21,logvol_cov_slope,0.0044573156642411,-0.005011009021478,0.0094683246857192
F-F_Momentum_Factor_daily:Mom,18,1943-09-22,lambda2,0.0151493645365935,0.0336875012817176,-0.0185381367451241
F-F_Momentum_Factor_daily:Mom,18,1943-09-22,p_MRW,0.7179920740906902,0.7344933747779889,-0.0165013006872987
F-F_Momentum_Factor_daily:Mom,18,1943-09-22,f_alpha_width,0.0302987290731868,0.0673750025634348,-0.0370762734902479
F-F_Momentum_Factor_daily:Mom,18,1943-09-22,logvol_cov_slope,0.0017934311611468,0.0038685992067193,-0.0020751680455725
F-F_Momentum_Factor_daily:Mom,19,1944-07-25,lambda2,0.0301649055829973,0.0500754474196733,-0.019910541836676
F-F_Momentum_Factor_daily:Mom,19,1944-07-25,p_MRW,0.751550720124595,0.7493533815746043,0.0021973385499907
F-F_Momentum_Factor_daily:Mom,19,1944-07-25,f_alpha_width,0.0603298111659948,0.1001508948393473,-0.0398210836733524
F-F_Momentum_Factor_daily:Mom,19,1944-07-25,logvol_cov_slope,0.0479458515793734,0.0086088613693153,0.039336990210058
F-F_Momentum_Factor_daily:Mom,20,1945-06-01,lambda2,0.0766184905664478,0.025897941249299,0.0507205493171488
F-F_Momentum_Factor_daily:Mom,20,1945-06-01,p_MRW,0.8120523731371596,0.7259098703418454,0.0861425027953142
F-F_Momentum_Factor_daily:Mom,20,1945-06-01,f_alpha_width,0.1532369811328954,0.0517958824985982,0.1014410986342971
F-F_Momentum_Factor_daily:Mom,20,1945-06-01,logvol_cov_slope,0.0712791453500095,-0.0355160126881229,0.1067951580381324
F-F_Momentum_Factor_daily:Mom,21,1946-04-22,lambda2,0.0357225488361539,0.0307492312412078,0.004973317594946
F-F_Momentum_Factor_daily:Mom,21,1946-04-22,p_MRW,0.7603941723262119,0.7286006044544632,0.0317935678717486
F-F_Momentum_Factor_daily:Mom,21,1946-04-22,f_alpha_width,0.0714450976723078,0.0614984624824157,0.0099466351898921
F-F_Momentum_Factor_daily:Mom,21,1946-04-22,logvol_cov_slope,0.0484907232037457,-0.0147956553099921,0.0632863785137378
F-F_Momentum_Factor_daily:Mom,22,1947-03-17,lambda2,0.0458266401670708,0.0142340684695181,0.0315925716975527
F-F_Momentum_Factor_daily:Mom,22,1947-03-17,p_MRW,0.775617659337485,0.7162841910754939,0.0593334682619911
F-F_Momentum_Factor_daily:Mom,22,1947-03-17,f_alpha_width,0.0916532803341411,0.0284681369390364,0.0631851433951047
F-F_Momentum_Factor_daily:Mom,22,1947-03-17,logvol_cov_slope,0.0521997224786347,-0.042682841228145,0.0948825637067798
F-F_Momentum_Factor_daily:Mom,23,1948-02-07,lambda2,0.0539940025619295,0.0009877853315053,0.0530062172304242
F-F_Momentum_Factor_daily:Mom,23,1948-02-07,p_MRW,0.7865237460792996,0.7050551792780853,0.0814685668012143
F-F_Momentum_Factor_daily:Mom,23,1948-02-07,f_alpha_width,0.1079880051238587,0.0019755706630104,0.1060124344608483
F-F_Momentum_Factor_daily:Mom,23,1948-02-07,logvol_cov_slope,0.0690792683450858,-0.0263040238430835,0.0953832921881694
F-F_Momentum_Factor_daily:Mom,24,1948-12-31,lambda2,0.0605171121586326,0.0233276472509192,0.0371894649077133
F-F_Momentum_Factor_daily:Mom,24,1948-12-31,p_MRW,0.7922804943139166,0.7234655283534873,0.0688149659604292
F-F_Momentum_Factor_daily:Mom,24,1948-12-31,f_alpha_width,0.121034224317265,0.0466552945018379,0.0743789298154271
F-F_Momentum_Factor_daily:Mom,24,1948-12-31,logvol_cov_slope,0.0564740208975357,-0.0229196002649909,0.0793936211625266
F-F_Momentum_Factor_daily:Mom,25,1949-11-23,lambda2,0.0468264896560284,0.0232146920827978,0.0236117975732306
F-F_Momentum_Factor_daily:Mom,25,1949-11-23,p_MRW,0.7725520625687741,0.7231548798698003,0.0493971826989737
F-F_Momentum_Factor_daily:Mom,25,1949-11-23,f_alpha_width,0.0936529793120567,0.0464293841655957,0.047223595146461
F-F_Momentum_Factor_daily:Mom,25,1949-11-23,logvol_cov_slope,0.0404718333694201,-0.010017630935212,0.0504894643046322
F-F_Momentum_Factor_daily:Mom,26,1950-10-17,lambda2,0.0586813116925288,0.0494860273704809,0.0091952843220479
F-F_Momentum_Factor_daily:Mom,26,1950-10-17,p_MRW,0.7778033063862979,0.7565660444977264,0.0212372618885715
F-F_Momentum_Factor_daily:Mom,26,1950-10-17,f_alpha_width,0.1173626233850581,0.0989720547409618,0.0183905686440962
F-F_Momentum_Factor_daily:Mom,26,1950-10-17,logvol_cov_slope,0.0376891517700511,0.0172663117753865,0.0204228399946646
F-F_Momentum_Factor_daily:Mom,27,1951-09-06,lambda2,0.047010384406533,0.0333161600631679,0.013694224343365
F-F_Momentum_Factor_daily:Mom,27,1951-09-06,p_MRW,0.7666152759664334,0.7552059644088831,0.0114093115575503
F-F_Momentum_Factor_daily:Mom,27,1951-09-06,f_alpha_width,0.0940207688130658,0.0666323201263356,0.0273884486867301
F-F_Momentum_Factor_daily:Mom,27,1951-09-06,logvol_cov_slope,0.0332580712541866,0.0333569803123791,-9.890905819252838e-05
F-F_Momentum_Factor_daily:Mom,28,1952-07-23,lambda2,0.027441088756504,0.0593155621957596,-0.0318744734392555
F-F_Momentum_Factor_daily:Mom,28,1952-07-23,p_MRW,0.7480009668269538,0.789327637572964,-0.0413266707460101
F-F_Momentum_Factor_daily:Mom,28,1952-07-23,f_alpha_width,0.0548821775130086,0.1186311243915194,-0.0637489468785108
F-F_Momentum_Factor_daily:Mom,28,1952-07-23,logvol_cov_slope,0.0359454172414484,0.0546855707954406,-0.0187401535539921
F-F_Momentum_Factor_daily:Mom,29,1953-07-24,lambda2,0.0197822220679272,0.0285158929648962,-0.0087336708969689
F-F_Momentum_Factor_daily:Mom,29,1953-07-24,p_MRW,0.7345324836434469,0.7276592113327436,0.0068732723107033
F-F_Momentum_Factor_daily:Mom,29,1953-07-24,f_alpha_width,0.0395644441358542,0.0570317859297923,-0.017467341793938
F-F_Momentum_Factor_daily:Mom,29,1953-07-24,logvol_cov_slope,0.0185564244844972,-0.0055994109550021,0.0241558354394994
F-F_Momentum_Factor_daily:Mom,30,1954-07-28,lambda2,0.0719726373602259,0.0459730750610939,0.0259995622991319
F-F_Momentum_Factor_daily:Mom,30,1954-07-28,p_MRW,0.7920378372017143,0.7392573318432513,0.052780505358463
F-F_Momentum_Factor_daily:Mom,30,1954-07-28,f_alpha_width,0.1439452747204517,0.0919461501221882,0.0519991245982635
F-F_Momentum_Factor_daily:Mom,30,1954-07-28,logvol_cov_slope,0.0444191808845933,-0.0201946243082686,0.0646138051928619
F-F_Momentum_Factor_daily:Mom,31,1955-07-27,lambda2,0.0721781409135337,0.0477260194625313,0.0244521214510023
F-F_Momentum_Factor_daily:Mom,31,1955-07-27,p_MRW,0.809462330715176,0.7765482740208544,0.0329140566943216
F-F_Momentum_Factor_daily:Mom,31,1955-07-27,f_alpha_width,0.1443562818270675,0.095452038925063,0.0489042429020044
F-F_Momentum_Factor_daily:Mom,31,1955-07-27,logvol_cov_slope,0.0712567178396401,0.0454851834225455,0.0257715344170946
F-F_Momentum_Factor_daily:Mom,32,1956-07-26,lambda2,0.0383678923127899,0.0037864525572201,0.0345814397555698
F-F_Momentum_Factor_daily:Mom,32,1956-07-26,p_MRW,0.7638078571887483,0.7077073978229969,0.0561004593657514
F-F_Momentum_Factor_daily:Mom,32,1956-07-26,f_alpha_width,0.07673578462558,0.0075729051144403,0.0691628795111397
F-F_Momentum_Factor_daily:Mom,32,1956-07-26,logvol_cov_slope,0.0400104936022777,-0.0107906386011034,0.0508011322033811
F-F_Momentum_Factor_daily:Mom,33,1957-07-29,lambda2,0.041619731293133,0.0337833109849178,0.0078364203082152
F-F_Momentum_Factor_daily:Mom,33,1957-07-29,p_MRW,0.7692981392070626,0.7439749477864532,0.0253231914206093
F-F_Momentum_Factor_daily:Mom,33,1957-07-29,f_alpha_width,0.0832394625862662,0.0675666219698354,0.0156728406164308
F-F_Momentum_Factor_daily:Mom,33,1957-07-29,logvol_cov_slope,0.0418124251676527,0.0151260310452275,0.0266863941224251
F-F_Momentum_Factor_daily:Mom,34,1958-07-28,lambda2,0.0662663439466407,0.0487028434003181,0.0175635005463225
F-F_Momentum_Factor_daily:Mom,34,1958-07-28,p_MRW,0.7965716726822124,0.7792143745091931,0.0173572981730193
F-F_Momentum_Factor_daily:Mom,34,1958-07-28,f_alpha_width,0.1325326878932813,0.0974056868006365,0.0351270010926447
F-F_Momentum_Factor_daily:Mom,34,1958-07-28,logvol_cov_slope,0.0592372297680559,0.0631502784355695,-0.0039130486675135
F-F_Momentum_Factor_daily:Mom,35,1959-07-28,lambda2,0.0683494506069488,0.0450490185183516,0.0233004320885971
F-F_Momentum_Factor_daily:Mom,35,1959-07-28,p_MRW,0.7867715534501596,0.7557097475759658,0.0310618058741938
F-F_Momentum_Factor_daily:Mom,35,1959-07-28,f_alpha_width,0.1366989012138973,0.0900980370367032,0.0466008641771941
F-F_Momentum_Factor_daily:Mom,35,1959-07-28,logvol_cov_slope,0.0405708259749861,0.01967477833924,0.020896047635746
F-F_Momentum_Factor_daily:Mom,36,1960-07-27,lambda2,0.0339563019911583,0.0180978798644681,0.0158584221266901
F-F_Momentum_Factor_daily:Mom,36,1960-07-27,p_MRW,0.7430602498819585,0.7192173159887787,0.0238429338931798
F-F_Momentum_Factor_daily:Mom,36,1960-07-27,f_alpha_width,0.0679126039823169,0.0361957597289366,0.0317168442533802
F-F_Momentum_Factor_daily:Mom,36,1960-07-27,logvol_cov_slope,0.0139509666144855,-0.0177803498273411,0.0317313164418266
F-F_Momentum_Factor_daily:Mom,37,1961-07-28,lambda2,0.0374404643016711,0.0289710257136683,0.0084694385880028
F-F_Momentum_Factor_daily:Mom,37,1961-07-28,p_MRW,0.7425364502101242,0.7449586387419559,-0.0024221885318317
F-F_Momentum_Factor_daily:Mom,37,1961-07-28,f_alpha_width,0.0748809286033429,0.0579420514273368,0.016938877176006
F-F_Momentum_Factor_daily:Mom,37,1961-07-28,logvol_cov_slope,0.0102191586970855,0.0211737532442824,-0.0109545945471968
F-F_Momentum_Factor_daily:Mom,38,1962-07-30,lambda2,0.0281642898342463,0.0157699352193258,0.0123943546149205
F-F_Momentum_Factor_daily:Mom,38,1962-07-30,p_MRW,0.7273858625266887,0.7183913016438911,0.0089945608827975
F-F_Momentum_Factor_daily:Mom,38,1962-07-30,f_alpha_width,0.0563285796684923,0.0315398704386514,0.0247887092298408
F-F_Momentum_Factor_daily:Mom,38,1962-07-30,logvol_cov_slope,0.0003811677688456,0.0004812638037641,-0.0001000960349184
F-F_Momentum_Factor_daily:Mom,39,1963-07-30,lambda2,0.0366680755944163,0.018333133546813,0.0183349420476033
F-F_Momentum_Factor_daily:Mom,39,1963-07-30,p_MRW,0.7403693873341471,0.7239239264528794,0.0164454608812677
F-F_Momentum_Factor_daily:Mom,39,1963-07-30,f_alpha_width,0.0733361511888328,0.0366662670936263,0.0366698840952065
F-F_Momentum_Factor_daily:Mom,39,1963-07-30,logvol_cov_slope,0.0098624854583315,0.0044867360633711,0.0053757493949604
F-F_Momentum_Factor_daily:Mom,40,1964-07-30,lambda2,0.0580837272532931,0.0389484271363797,0.0191353001169133
F-F_Momentum_Factor_daily:Mom,40,1964-07-30,p_MRW,0.7630246750258162,0.7341819043633051,0.028842770662511
F-F_Momentum_Factor_daily:Mom,40,1964-07-30,f_alpha_width,0.116167454506586,0.0778968542727596,0.0382706002338263
F-F_Momentum_Factor_daily:Mom,40,1964-07-30,logvol_cov_slope,0.0188856955759652,-0.0161516485297945,0.0350373441057598
F-F_Momentum_Factor_daily:Mom,41,1965-07-30,lambda2,0.0404626821761465,0.0432886059334477,-0.0028259237573012
F-F_Momentum_Factor_daily:Mom,41,1965-07-30,p_MRW,0.7364583233091737,0.7384434661801306,-0.0019851428709568
