q,zeta_linear,alpha_linear,f_alpha_linear,zeta_boundary,alpha_boundary,f_alpha_boundary,zeta_curved,alpha_curved,f_alpha_curved
0.5,0.3,0.6,1.0,0.3075,0.605,0.995,0.345,0.6299999999999999,0.97
1.0,0.6,0.5999999999999999,0.9999999999999999,0.61,0.6,0.99,0.6599999999999999,0.6,0.9400000000000001
1.5,0.8999999999999999,0.6,1.0,0.9075,0.59,0.9775,0.945,0.54,0.8650000000000001
2.0,1.2,0.6000000000000001,1.0000000000000002,1.2,0.5800000000000001,0.9600000000000002,1.2,0.4800000000000001,0.7600000000000002
2.5,1.5,0.5999999999999999,0.9999999999999996,1.4875,0.5699999999999998,0.9374999999999996,1.425,0.42000000000000015,0.6250000000000002
3.0,1.7999999999999998,0.5999999999999996,0.9999999999999991,1.7699999999999998,0.5649999999999995,0.9249999999999987,1.62,0.3900000000000001,0.5500000000000003
