factor,source_name,window_index,window_end,T,pred_lambda2_original,pred_lambda2_shuffled,pred_lambda2_block_shuffled,pred_lambda2_gap_shuffle,pred_lambda2_gap_block,p_MRW_original,p_MRW_shuffled,p_MRW_block_shuffled,p_MRW_gap_shuffle,p_MRW_gap_block,f_alpha_width_original,f_alpha_width_shuffled,f_alpha_width_block_shuffled,f_alpha_width_gap_shuffle,f_alpha_width_gap_block,logvol_cov_slope_original,logvol_cov_slope_shuffled,logvol_cov_slope_block_shuffled,logvol_cov_slope_gap_shuffle,logvol_cov_slope_gap_block,pred_H_original,pred_H_shuffled,pred_H_block_shuffled,pred_H_gap_shuffle,pred_H_gap_block
Mom,F-F_Momentum_Factor_daily:Mom,0,1928-07-21,512,0.0256615664752116,0.0143962053548278,0.0209574856429001,0.0112653611203838,0.0047040808323115,0.7251405751538311,0.7208254944250806,0.7361900797723854,0.0043150807287505,-0.0110495046185542,0.0513231329504235,0.0287924107096557,0.0419149712858003,0.0225307222407677,0.0094081616646232,-0.0001080027655903,0.0047884311024306,0.0179778998859548,-0.004896433868021,-0.0180859026515452,0.5737748408015475,0.5330672908036163,0.5882114619219911,0.0407075499979312,-0.0144366211204436
Mom,F-F_Momentum_Factor_daily:Mom,1,1929-05-27,512,0.0422535038627236,0.0223424489583476,0.0620867455125566,0.0199110549043759,-0.019833241649833,0.7703490199669046,0.7313598339286589,0.782307080838843,0.0389891860382457,-0.0119580608719384,0.0845070077254477,0.0446848979166956,0.1241734910251137,0.0398221098087521,-0.039666483299666,0.0480235950713196,0.0106053372890094,0.0417998574493746,0.0374182577823102,0.0062237376219449,0.5648473344211957,0.5772762701564715,0.6106455984040939,-0.0124289357352758,-0.0457982639828982
Mom,F-F_Momentum_Factor_daily:Mom,2,1930-04-07,512,0.079434047975505,0.0278360114636628,0.0765805300576926,0.0515980365118422,0.0028535179178123,0.7996471974780778,0.7260854755737426,0.8155282115604651,0.0735617219043351,-0.0158810140823872,0.1588680959510102,0.0556720229273255,0.1531610601153853,0.1031960730236847,0.0057070358356249,0.0504598981201631,-0.0113760047325186,0.0815495277721416,0.0618359028526817,-0.0310896296519785,0.5861120117626699,0.5716007588477955,0.5399988823583316,0.0145112529148744,0.0461131294043383
Mom,F-F_Momentum_Factor_daily:Mom,3,1931-02-10,512,0.0565800575969584,0.0143985097855739,0.0400389985276969,0.0421815478113844,0.0165410590692614,0.7521328581528822,0.7169457122891835,0.7648949865830525,0.0351871458636987,-0.0127621284301703,0.1131601151939168,0.0287970195711478,0.0800779970553936,0.084363095622769,0.0330821181385232,0.0056820068893482,-0.0121293055711852,0.0395008235436303,0.0178113124605335,-0.033818816654282,0.5215997713764893,0.4601548707803169,0.4895418088433462,0.0614449005961723,0.032057962533143
Mom,F-F_Momentum_Factor_daily:Mom,4,1931-12-12,512,0.0571922327189548,0.0104652388782201,0.0681161881050839,0.0467269938407346,-0.0109239553861291,0.7878793864896678,0.7136363256609924,0.7861178191272153,0.0742430608286753,0.0017615673624524,0.1143844654379102,0.0209304777564401,0.1362323762101678,0.0934539876814701,-0.0218479107722575,0.0532134566266893,-0.0071767188450548,0.041096276227993,0.0603901754717442,0.0121171803986962,0.5278380896168249,0.46042408666434,0.6483322561964284,0.0674140029524849,-0.1204941665796035
Mom,F-F_Momentum_Factor_daily:Mom,5,1932-10-14,512,0.0376110508019104,0.0153371677764638,0.1018741260733891,0.0222738830254466,-0.0642630752714786,0.7609054952689717,0.717363558414325,0.8307327796619033,0.0435419368546466,-0.0698272843929316,0.0752221016038209,0.0306743355529279,0.2037482521467782,0.044547766050893,-0.1285261505429573,0.0719723216362209,-0.0154638248892375,0.080145626750382,0.0874361465254584,-0.008173305114161,0.6333177103737129,0.4673648117107091,0.6131228033865082,0.1659528986630037,0.0201949069872047
Mom,F-F_Momentum_Factor_daily:Mom,6,1933-09-01,512,0.0071316308508913,0.0130447085102629,0.0418746662645676,-0.0059130776593716,-0.0347430354136763,0.7008901950028685,0.715878428631675,0.7411542992310286,-0.0149882336288064,-0.04026410422816,0.0142632617017829,0.0260894170205258,0.0837493325291354,-0.0118261553187429,-0.0694860708273524,0.0142632617017826,-0.0205950552110016,0.0046921170164914,0.0348583169127842,0.0095711446852912,0.6286186528111262,0.4609296978380878,0.6362060998430203,0.1676889549730383,-0.0075874470318941
Mom,F-F_Momentum_Factor_daily:Mom,7,1934-07-06,512,0.0121049457547806,0.0150793868011855,0.0274516044570428,-0.0029744410464048,-0.0153466587022621,0.7193207429767358,0.7244227305962453,0.7408845551534716,-0.0051019876195095,-0.0215638121767358,0.0242098915095612,0.0301587736023711,0.0549032089140857,-0.0059488820928099,-0.0306933174045245,0.0048237148941812,0.0083929871299869,0.0178350326403901,-0.0035692722358057,-0.0130113177462089,0.2747853004228256,0.4151800777470263,0.42672744676765,-0.1403947773242007,-0.1519421463448244
Mom,F-F_Momentum_Factor_daily:Mom,8,1935-05-08,512,0.0107974925463673,0.0151638074173929,0.0285462489430046,-0.0043663148710255,-0.0177487563966372,0.7123101085273538,0.7211049387489139,0.7496308369367961,-0.0087948302215601,-0.0373207284094423,0.0215949850927352,0.0303276148347852,0.0570924978860092,-0.0087326297420499,-0.0354975127932739,0.0215949850927347,0.0042523195444463,0.0313348223923758,0.0173426655482884,-0.009739837299641,0.4529865486219117,0.4858896851156445,0.5216559661087051,-0.0329031364937328,-0.0686694174867934
Mom,F-F_Momentum_Factor_daily:Mom,9,1936-03-10,512,0.0048047483680163,0.0161467581290128,0.0101235494104621,-0.0113420097609964,-0.0053188010424457,0.7051779907381158,0.717756085394882,0.7159563119611397,-0.0125780946567661,-0.0107783212230239,0.0096094967360326,0.0322935162580259,0.020247098820924,-0.0226840195219932,-0.0106376020848913,-0.0175147648461972,-0.0300783298505438,0.0039335021474992,0.0125635650043466,-0.0214482669936964,0.5085161940102889,0.4949024288790641,0.5231139237299722,0.0136137651312247,-0.0145977297196833
