estimator,T,lambda2_mae,lambda2_rmse,lambda2_corr,lambda2_spearman,high_lambda_detection_rate,boundary_accuracy,mean_mrw_vs_mono_gain,warning_rate
mfdfa,1194.6666666666667,0.06861324036926818,0.08689487568548326,-0.05047175786581635,-0.01751056302666519,0.7166666666666667,0.5958333333333333,0.8619320385468502,0.0
mfdfa_quadratic,1194.6666666666667,0.0709074510681979,0.09739490980652639,-0.09636188916540106,-0.0799672905953409,0.06666666666666667,0.26666666666666666,0.8967589401282415,0.0
structure_aggregated_ols,1194.6666666666667,0.07804887192700699,0.10633052592882834,0.013114190191031988,0.0168366441002902,0.016666666666666666,0.25833333333333336,0.5519100901963004,0.0
wavelet_leader_haar,1194.6666666666667,0.08204625493695251,0.11191624979433364,-0.014036603990484378,0.04044439825458503,0.0,0.25,0.14549873533590774,0.0
wtmm_haar,1194.6666666666667,0.08249949999983072,0.112804410378957,,,0.0,0.25,0.0,0.0
