T,process_type,lambda_band,zeta_mae,second_diff_norm,third_diff_norm,H_proj,lambda2_proj,H_true,lambda2_true,residual_norm,mono_residual_norm,tail_instability,p_scaling_cal,p_curved_cal,p_mono_cal,p_mrw_cal,p_boundary_cal
256,"GARCH(1,1)",non_mrw,0.0,0.0215203861395518,0.019713259748338412,0.46041057010491687,0.003748972265990839,,0.0,0.020949548886468012,0.02445665995279948,0.017961885780096054,0.9925846954186758,0.05339715567727884,0.9399177531401316,0.1556811680396398,0.14295575643579164
256,Low-lambda2 MRW,low,0.0920315776925741,0.02025252290897899,0.007846454572346475,0.4277594150889854,0.04209731249102333,0.45371509136425126,0.01276799011652151,0.024496034014090482,0.03897944884374738,0.0,0.9937967939509286,0.41504376920379904,0.6282787898348438,0.5336942920047376,0.12167721401078582
256,MRW,high,0.09405772752450922,0.020992550228794035,0.007333179450142779,0.47194037814884165,0.04245969489473002,0.48751487364419377,0.1407532593450294,0.012834304266457016,0.028188346202324074,0.00038878162516854133,0.9938897711153214,0.41484312042414856,0.6302354307128832,0.5363255854552755,0.1295081942461831
256,MRW,medium,0.07124887980753555,0.021065207663923502,0.006321828429645393,0.44195168893784287,0.04300955778626303,0.45388943385332825,0.053801174252294005,0.012710773106664418,0.027966542320791633,0.0,0.9940191105008125,0.42846852641087024,0.6202732238918542,0.5447587341070175,0.08879695974956556
256,Regime-switching Gaussian,non_mrw,0.0,0.06902811759048039,0.04808895491684476,0.5729101035330031,0.005691350120792372,,0.0,0.08827984374430445,0.09287178081770738,0.1674228215383159,0.9244881470998129,0.25381558388471603,0.7217087546984354,0.29413941833708024,0.21045806921190685
256,fGn,non_mrw,0.08161400837795527,0.019886890002949673,0.005786156891245451,0.4545489755092245,0.03758429659923091,0.47882161520873057,0.0,0.012899054515979846,0.02602736255203402,0.0,0.9934192376606392,0.37098985179468535,0.6658290028572083,0.48748338555522036,0.1147110058467106
256,iid Gaussian,non_mrw,0.06431151694880846,0.012675711741814246,0.005000702363665765,0.48741211073520857,0.02109962274680117,0.5,0.0,0.01138800018443129,0.018802454360784628,0.0,0.9952353330758902,0.1980347981174978,0.8118726072403101,0.3031444324132724,0.23195142912660954
256,iid Student-t,non_mrw,0.0467865784962972,0.11885095040003459,0.05396482826520999,0.5954128166039785,1.0000003385357559e-06,,0.0,0.1791217094908158,0.18040061031157772,0.45576272110144295,0.6509963711102803,0.3658779499431451,0.4822565257549286,0.1446430186430613,0.048081801971420646
512,"GARCH(1,1)",non_mrw,0.0,0.010014614462852478,0.004645437002182007,0.5004098445177079,0.006686149067536462,,0.0,0.017711892537772656,0.018322439398616552,0.0,0.9957753598690033,0.08416942423209547,0.9176123261451721,0.1830253407359123,0.07907997898291796
512,Low-lambda2 MRW,low,0.04737896666241189,0.015987644903361797,0.0041216330266454155,0.45393331566204626,0.023770788758358523,0.4606196057672302,0.015183491969461707,0.01528111391235143,0.021897269257654745,0.0,0.9943193660842048,0.23015532487382492,0.7903602967659632,0.35043845646497274,0.11719421074536109
512,MRW,high,0.08399627099069656,0.016815041319877617,0.004445634314446088,0.4844868104745991,0.02773907950859858,0.48992540260061834,0.14179966789427526,0.01447849346752945,0.02297154715465673,0.0,0.9939887873934343,0.2639062148320237,0.7599428305269983,0.38015928663207454,0.1376889692945145
512,MRW,medium,0.0556513811038299,0.017026237369357766,0.004437770936396215,0.4970395551486449,0.02693542861124552,0.5084323354742744,0.054177817295898094,0.015092307662397816,0.022949570935074385,0.0,0.9936049967617183,0.24864802547041084,0.7744913008305934,0.3708297041329471,0.14929752279875902
512,Regime-switching Gaussian,non_mrw,0.0,0.07644775211811065,0.04840812757611275,0.5460232496261597,1.0000003385357559e-06,,0.0,0.1060737743973732,0.10996775701642036,0.19793706834316255,0.8883647680282593,0.23444985151290892,0.722447681427002,0.2432347536087036,0.19735294580459595
512,fGn,non_mrw,0.051208833627628556,0.016760962309710907,0.004513161477392934,0.4702884408109116,0.026024100433212217,0.4784066920366251,0.0,0.015236390821607501,0.022857214186594567,0.0,0.9941889025045164,0.2578754186150477,0.7667730076972282,0.37641572241078725,0.12109611415097438
