version,T,process_type,mean_p_scaling,mean_p_curved,mean_p_mrw,mean_p_mono,mean_boundary_mrw_score,mean_residual_norm,mean_mono_residual_norm,mean_gain
v1,256,"GARCH(1,1)",0.8049242774645488,,0.418631732960542,,,0.0336356765357777,,
v1,256,MRW,0.970164705912272,,0.8804420771201452,,,0.0063030333700589,,
v1,256,Regime-switching Gaussian,0.4533900072177251,,0.1656715807815393,,,0.347509461606387,,
v1,256,Shuffled MRW,0.875906064775255,,0.47888818581899,,,0.0128007879234953,,
v1,256,fGn,0.976598154173957,,0.9170442134141922,,,0.0062280758284032,,
v1,256,iid Gaussian,0.8890046904484431,,0.5025860890746117,,,0.0086563342444909,,
v1,256,iid Student-t,0.4416868832376268,,0.1590675231483247,,,0.343895640826991,,
v1,512,"GARCH(1,1)",0.7828940525650978,,0.3507443030675252,,,0.0268436468827227,,
v1,512,MRW,0.9769372530778248,,0.9097017618020375,,,0.0051721889836092,,
v1,512,Regime-switching Gaussian,0.4129230539004008,,0.1291225823263327,,,0.3903792976712187,,
v1,512,Shuffled MRW,0.8818596727318234,,0.3766465442048178,,,0.0063480604659869,,
v1,512,fGn,0.9659072154098088,,0.8486111462116241,,,0.0052028653548202,,
v1,512,iid Gaussian,0.8792014290889104,,0.3840391521652539,,,0.0055952027711706,,
v1,512,iid Student-t,0.4193299349811342,,0.1367121055722236,,,0.3845574241778295,,
v1,1024,"GARCH(1,1)",0.7629205316305161,,0.3127543037136396,,,0.0303132052145277,,
v1,1024,MRW,0.9779190528392792,,0.9063146710395812,,,0.003630205472776,,
v1,1024,Regime-switching Gaussian,0.3962114055951436,,0.1151525785525639,,,0.4262109796206156,,
v1,1024,Shuffled MRW,0.8800999535454644,,0.3482376532422171,,,0.005936972090664,,
v1,1024,fGn,0.977472468217214,,0.9159549206495284,,,0.0034624108766567,,
v1,1024,iid Gaussian,0.8761485397815705,,0.3347554852565129,,,0.0061763993600228,,
v1,1024,iid Student-t,0.3814146531952752,,0.1079882353544235,,,0.4367903149790234,,
v1,2048,"GARCH(1,1)",0.7819839288791021,,0.3181612725059191,,,0.0168500998833527,,
v1,2048,MRW,0.9812982169787088,,0.9232823663949966,,,0.0035313504864461,,
v1,2048,Regime-switching Gaussian,0.3897380461295446,,0.1098601440588633,,,0.4424774274230003,,
v1,2048,Shuffled MRW,0.8801691717571682,,0.3300249805053075,,,0.0048813902656547,,
v1,2048,fGn,0.9770654910140568,,0.9020327127642102,,,0.0036618784677961,,
v1,2048,iid Gaussian,0.8797060867150625,,0.3314594243963559,,,0.0045834616408683,,
v1,2048,iid Student-t,0.3782107588317659,,0.1059392667478985,,,0.4433032416635089,,
v2,256,"GARCH(1,1)",0.773719535874469,,0.3926217069051095,0.6449095473757812,,0.1086081696142043,0.1191071161468114,0.1004859836136477
v2,256,Low-lambda2 MRW,0.99264266874109,,0.6846642653856959,0.7123924940824509,,0.0538072720436113,0.0891573727130889,0.3742555863490062
v2,256,MRW,0.9844832478889396,,0.6583540311881474,0.7280395509941238,,0.0579463290383241,0.08744824661075,0.3260719698867303
v2,256,Regime-switching Gaussian,0.5360294841229916,,0.1840826768561133,0.4716242626309395,,0.261680997309408,0.2728347030601331,0.0626594544238677
v2,256,Shuffled MRW,0.9580139574550448,,0.4887607821396419,0.8465988061257771,,0.0669637935324793,0.0767007745979797,0.1229730913795979
